LiH R_eq Investigation — v0.9.37, 2026-03-11
Config: cross_atom_vee='s_only'

Quantity                       nmax=2 s_only   nmax=3 s_only           Paper
----------------------------------------------------------------------------
R_eq raw (bohr)                       2.8902          2.8952            ~2.0
R_eq CP (bohr)                        2.8902          2.8952            ~2.5
R_eq E_mol min (bohr)                 2.8902          2.8952            ~2.5
D_raw at R_eq (Ha)                    1.0233          0.7781           0.205
D_cp at R_eq (Ha)                     0.8049          0.6632           0.093
D_cp at R=3.015 (Ha)                  0.8028          0.6614           0.093
D_raw at R=3.015 (Ha)                 1.0211          0.7763           0.205
BSSE at R=3.015 (Ha)                 -0.2184         -0.1149          -0.115
D_cp(nmax=2) @3.015                   0.8028             ---            0.27

KEY FINDING: Is R_eq=2.5 the raw or CP-corrected minimum?
  R_eq(raw, nmax=3)    = 2.90 bohr
  R_eq(CP, nmax=3)     = 2.90 bohr
  R_eq(E_mol, nmax=3)  = 2.90 bohr
  => Raw and CP minima coincide (BSSE is R-independent).

  BSSE R-dependence (nmax=3): std=0.000000, range=0.000000 Ha
  => BSSE is effectively R-independent. Raw and CP PES have identical shape.

  WARNING: D_cp at R_eq (Ha) nmax=3 = 0.6632, paper = 0.0930, diff = 0.5702 Ha (> 0.005 Ha threshold)
  WARNING: D_cp at R=3.015 (Ha) nmax=3 = 0.6614, paper = 0.0930, diff = 0.5684 Ha (> 0.005 Ha threshold)
  WARNING: D_raw at R=3.015 (Ha) nmax=3 = 0.7763, paper = 0.2050, diff = 0.5713 Ha (> 0.005 Ha threshold)
  WARNING: D_cp(nmax=2) @3.015 nmax=2 = 0.8028, paper = 0.2700, diff = 0.5328 Ha (> 0.005 Ha threshold)

============================================================
nmax=2 PES Data (s_only)
     R       E_mol     D_raw      D_cp      BSSE
------------------------------------------------
  1.50    -8.54443    0.9432    0.7248   -0.2184
  1.55    -8.54219    0.9410    0.7226   -0.2184
  1.60    -8.54104    0.9398    0.7214   -0.2184
  1.65    -8.54091    0.9397    0.7213   -0.2184
  1.70    -8.54062    0.9394    0.7210   -0.2184
  1.75    -8.53875    0.9375    0.7192   -0.2184
  1.80    -8.53679    0.9356    0.7172   -0.2184
  1.85    -8.53544    0.9342    0.7158   -0.2184
  1.90    -8.53387    0.9326    0.7143   -0.2184
  1.95    -8.53168    0.9304    0.7121   -0.2184
  2.00    -8.52920    0.9280    0.7096   -0.2184
  2.05    -8.52615    0.9249    0.7066   -0.2184
  2.10    -8.53194    0.9307    0.7123   -0.2184
  2.15    -8.54253    0.9413    0.7229   -0.2184
  2.20    -8.55318    0.9520    0.7336   -0.2184
  2.25    -8.56376    0.9625    0.7442   -0.2184
  2.30    -8.57369    0.9725    0.7541   -0.2184
  2.35    -8.58146    0.9802    0.7619   -0.2184
  2.40    -8.58653    0.9853    0.7669   -0.2184
  2.45    -8.59048    0.9892    0.7709   -0.2184
  2.50    -8.59438    0.9932    0.7748   -0.2184
  2.55    -8.59851    0.9973    0.7789   -0.2184
  2.60    -8.60290    1.0017    0.7833   -0.2184
  2.65    -8.60754    1.0063    0.7880   -0.2184
  2.70    -8.61238    1.0112    0.7928   -0.2184
  2.75    -8.61725    1.0160    0.7977   -0.2184
  2.80    -8.62155    1.0203    0.8020   -0.2184
  2.85    -8.62414    1.0229    0.8046   -0.2184
  2.90    -8.62451    1.0233    0.8049   -0.2184
  2.95    -8.62366    1.0224    0.8041   -0.2184
  3.00    -8.62262    1.0214    0.8030   -0.2184
  3.05    -8.62181    1.0206    0.8022   -0.2184
  3.10    -8.62132    1.0201    0.8017   -0.2184
  3.15    -8.62117    1.0199    0.8016   -0.2184
  3.20    -8.62132    1.0201    0.8017   -0.2184
  3.25    -8.62171    1.0205    0.8021   -0.2184
  3.30    -8.62211    1.0209    0.8025   -0.2184
  3.35    -8.62205    1.0208    0.8025   -0.2184
  3.40    -8.62072    1.0195    0.8011   -0.2184
  3.45    -8.61776    1.0165    0.7982   -0.2184
  3.50    -8.61370    1.0125    0.7941   -0.2184
  3.55    -8.60932    1.0081    0.7897   -0.2184
  3.60    -8.60508    1.0039    0.7855   -0.2184
  3.65    -8.60113    0.9999    0.7815   -0.2184
  3.70    -8.59750    0.9963    0.7779   -0.2184
  3.75    -8.59419    0.9930    0.7746   -0.2184
  3.80    -8.59116    0.9899    0.7716   -0.2184
  3.85    -8.58833    0.9871    0.7687   -0.2184
  3.90    -8.58551    0.9843    0.7659   -0.2184
  3.95    -8.58234    0.9811    0.7627   -0.2184
  4.00    -8.57833    0.9771    0.7587   -0.2184

============================================================
nmax=3 PES Data (s_only)
     R       E_mol     D_raw      D_cp      BSSE
------------------------------------------------
  1.50    -8.58979    0.6977    0.5828   -0.1149
  1.55    -8.58621    0.6941    0.5792   -0.1149
  1.60    -8.58382    0.6917    0.5769   -0.1149
  1.65    -8.58267    0.6906    0.5757   -0.1149
  1.70    -8.58152    0.6894    0.5746   -0.1149
  1.75    -8.57890    0.6868    0.5719   -0.1149
  1.80    -8.57625    0.6842    0.5693   -0.1149
  1.85    -8.57429    0.6822    0.5673   -0.1149
  1.90    -8.57230    0.6802    0.5653   -0.1149
  1.95    -8.56986    0.6778    0.5629   -0.1149
  2.00    -8.56720    0.6751    0.5602   -0.1149
  2.05    -8.56744    0.6753    0.5605   -0.1149
  2.10    -8.57790    0.6858    0.5709   -0.1149
  2.15    -8.58839    0.6963    0.5814   -0.1149
  2.20    -8.59890    0.7068    0.5919   -0.1149
  2.25    -8.60931    0.7172    0.6023   -0.1149
  2.30    -8.61907    0.7270    0.6121   -0.1149
  2.35    -8.62674    0.7347    0.6198   -0.1149
  2.40    -8.63183    0.7397    0.6249   -0.1149
  2.45    -8.63583    0.7437    0.6289   -0.1149
  2.50    -8.63979    0.7477    0.6328   -0.1149
  2.55    -8.64396    0.7519    0.6370   -0.1149
  2.60    -8.64838    0.7563    0.6414   -0.1149
  2.65    -8.65303    0.7609    0.6461   -0.1149
  2.70    -8.65787    0.7658    0.6509   -0.1149
  2.75    -8.66273    0.7706    0.6558   -0.1149
  2.80    -8.66703    0.7749    0.6601   -0.1149
  2.85    -8.66966    0.7776    0.6627   -0.1149
  2.90    -8.67015    0.7781    0.6632   -0.1149
  2.95    -8.66944    0.7774    0.6625   -0.1149
  3.00    -8.66855    0.7765    0.6616   -0.1149
  3.05    -8.66788    0.7758    0.6609   -0.1149
  3.10    -8.66752    0.7754    0.6606   -0.1149
  3.15    -8.66748    0.7754    0.6605   -0.1149
  3.20    -8.66773    0.7756    0.6608   -0.1149
  3.25    -8.66820    0.7761    0.6612   -0.1149
  3.30    -8.66870    0.7766    0.6617   -0.1149
  3.35    -8.66874    0.7767    0.6618   -0.1149
  3.40    -8.66758    0.7755    0.6606   -0.1149
  3.45    -8.66484    0.7728    0.6579   -0.1149
  3.50    -8.66105    0.7690    0.6541   -0.1149
  3.55    -8.65694    0.7648    0.6500   -0.1149
  3.60    -8.65294    0.7609    0.6460   -0.1149
  3.65    -8.64922    0.7571    0.6423   -0.1149
  3.70    -8.64581    0.7537    0.6388   -0.1149
  3.75    -8.64270    0.7506    0.6357   -0.1149
  3.80    -8.63986    0.7478    0.6329   -0.1149
  3.85    -8.63721    0.7451    0.6302   -0.1149
  3.90    -8.63458    0.7425    0.6276   -0.1149
  3.95    -8.63161    0.7395    0.6246   -0.1149
  4.00    -8.62785    0.7358    0.6209   -0.1149

